,,,,genus,genus,family,family,order,order,class,class,phylum,phylum
Megasphaera micronuciformis,Megasphaera micronuciformis,Megasphaera micronuciformis,Megasphaera micronuciformis,Megasphaera,Megasphaera,Veillonellaceae,Veillonellaceae,Veillonellales,Veillonellales,Negativicutes,Negativicutes,Firmicutes,Firmicutes
Streptococcus salivarius,Streptococcus salivarius,Streptococcus salivarius,Streptococcus salivarius,Streptococcus,Streptococcus,Streptococcaceae,Streptococcaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Clostridioides difficile,Clostridioides difficile,Clostridioides difficile,Clostridioides difficile,Clostridioides,Clostridioides,Peptostreptococcaceae,Peptostreptococcaceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Stenotrophomonas maltophilia,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia,Stenotrophomonas,Stenotrophomonas,Xanthomonadaceae,Xanthomonadaceae,Xanthomonadales,Xanthomonadales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Enterococcus faecium,Enterococcus faecium,Enterococcus faecium,Enterococcus faecium,Enterococcus,Enterococcus,Enterococcaceae,Enterococcaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Veillonella dispar,Veillonella dispar,Veillonella dispar,Veillonella dispar,Veillonella,Veillonella,Veillonellaceae,Veillonellaceae,Veillonellales,Veillonellales,Negativicutes,Negativicutes,Firmicutes,Firmicutes
Actinomyces sp. oral taxon 181,Actinomyces sp. oral taxon 181,Actinomyces sp. oral taxon 181,Actinomyces sp. oral taxon 181,Actinomyces,Actinomyces,Actinomycetaceae,Actinomycetaceae,Actinomycetales,Actinomycetales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Clostridium paraputrificum,Clostridium paraputrificum,Clostridium paraputrificum,Clostridium paraputrificum,Clostridium,Clostridium,Clostridiaceae,Clostridiaceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Klebsiella quasipneumoniae,Klebsiella quasipneumoniae,Klebsiella quasipneumoniae,Klebsiella quasipneumoniae,Klebsiella,Klebsiella,Enterobacteriaceae,Enterobacteriaceae,Enterobacterales,Enterobacterales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Klebsiella variicola,Klebsiella variicola,Klebsiella variicola,Klebsiella variicola,Klebsiella,Klebsiella,Enterobacteriaceae,Enterobacteriaceae,Enterobacterales,Enterobacterales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Clostridium perfringens,Clostridium perfringens,Clostridium perfringens,Clostridium perfringens,Clostridium,Clostridium,Clostridiaceae,Clostridiaceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Streptococcus parasanguinis,Streptococcus parasanguinis,Streptococcus parasanguinis,Streptococcus parasanguinis,Streptococcus,Streptococcus,Streptococcaceae,Streptococcaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Veillonella infantium,Veillonella infantium,Veillonella infantium,Veillonella infantium,Veillonella,Veillonella,Veillonellaceae,Veillonellaceae,Veillonellales,Veillonellales,Negativicutes,Negativicutes,Firmicutes,Firmicutes
Streptococcus vestibularis,Streptococcus vestibularis,Streptococcus vestibularis,Streptococcus vestibularis,Streptococcus,Streptococcus,Streptococcaceae,Streptococcaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Bifidobacterium pseudolongum,Bifidobacterium pseudolongum,Bifidobacterium pseudolongum,Bifidobacterium pseudolongum,Bifidobacterium,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriaceae,Bifidobacteriales,Bifidobacteriales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Clostridium leptum,Clostridium leptum,Clostridium leptum,Clostridium leptum,Oscillospiraceae_NA,Oscillospiraceae_NA,Oscillospiraceae,Oscillospiraceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Raoultella ornithinolytica,Raoultella ornithinolytica,Raoultella ornithinolytica,Raoultella ornithinolytica,Raoultella,Raoultella,Enterobacteriaceae,Enterobacteriaceae,Enterobacterales,Enterobacterales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Streptococcus mitis,Streptococcus mitis,Streptococcus mitis,Streptococcus mitis,Streptococcus,Streptococcus,Streptococcaceae,Streptococcaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Rothia mucilaginosa,Rothia mucilaginosa,Rothia mucilaginosa,Rothia mucilaginosa,Rothia,Rothia,Micrococcaceae,Micrococcaceae,Micrococcales,Micrococcales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Enterococcus avium,Enterococcus avium,Enterococcus avium,Enterococcus avium,Enterococcus,Enterococcus,Enterococcaceae,Enterococcaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Lactobacillus paragasseri,Lactobacillus paragasseri,Lactobacillus paragasseri,Lactobacillus paragasseri,Lactobacillus,Lactobacillus,Lactobacillaceae,Lactobacillaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Cutibacterium acnes,Cutibacterium acnes,Cutibacterium acnes,Cutibacterium acnes,Cutibacterium,Cutibacterium,Propionibacteriaceae,Propionibacteriaceae,Propionibacteriales,Propionibacteriales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Kluyvera cryocrescens,Kluyvera cryocrescens,Kluyvera cryocrescens,Kluyvera cryocrescens,Kluyvera,Kluyvera,Enterobacteriaceae,Enterobacteriaceae,Enterobacterales,Enterobacterales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Veillonella sp. T11011-6,Veillonella sp. T11011-6,Veillonella sp. T11011-6,Veillonella sp. T11011-6,Veillonella,Veillonella,Veillonellaceae,Veillonellaceae,Veillonellales,Veillonellales,Negativicutes,Negativicutes,Firmicutes,Firmicutes
Lactobacillus gasseri,Lactobacillus gasseri,Lactobacillus gasseri,Lactobacillus gasseri,Lactobacillus,Lactobacillus,Lactobacillaceae,Lactobacillaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Schaalia odontolytica,Schaalia odontolytica,Schaalia odontolytica,Schaalia odontolytica,Schaalia,Schaalia,Actinomycetaceae,Actinomycetaceae,Actinomycetales,Actinomycetales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Veillonella seminalis,Veillonella seminalis,Veillonella seminalis,Veillonella seminalis,Veillonella,Veillonella,Veillonellaceae,Veillonellaceae,Veillonellales,Veillonellales,Negativicutes,Negativicutes,Firmicutes,Firmicutes
Haemophilus parainfluenzae,Haemophilus parainfluenzae,Haemophilus parainfluenzae,Haemophilus parainfluenzae,Haemophilus,Haemophilus,Pasteurellaceae,Pasteurellaceae,Pasteurellales,Pasteurellales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Streptococcus infantis,Streptococcus infantis,Streptococcus infantis,Streptococcus infantis,Streptococcus,Streptococcus,Streptococcaceae,Streptococcaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Haemophilus sp. HMSC71H05,Haemophilus sp. HMSC71H05,Haemophilus sp. HMSC71H05,Haemophilus sp. HMSC71H05,Haemophilus,Haemophilus,Pasteurellaceae,Pasteurellaceae,Pasteurellales,Pasteurellales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Erysipelatoclostridium ramosum,Erysipelatoclostridium ramosum,Erysipelatoclostridium ramosum,Erysipelatoclostridium ramosum,Erysipelatoclostridium,Erysipelatoclostridium,Erysipelotrichaceae,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichales,Erysipelotrichia,Erysipelotrichia,Firmicutes,Firmicutes
Streptococcus peroris,Streptococcus peroris,Streptococcus peroris,Streptococcus peroris,Streptococcus,Streptococcus,Streptococcaceae,Streptococcaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Parascardovia denticolens,Parascardovia denticolens,Parascardovia denticolens,Parascardovia denticolens,Parascardovia,Parascardovia,Bifidobacteriaceae,Bifidobacteriaceae,Bifidobacteriales,Bifidobacteriales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Streptococcus oralis,Streptococcus oralis,Streptococcus oralis,Streptococcus oralis,Streptococcus,Streptococcus,Streptococcaceae,Streptococcaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Fusobacterium periodonticum,Fusobacterium periodonticum,Fusobacterium periodonticum,Fusobacterium periodonticum,Fusobacterium,Fusobacterium,Fusobacteriaceae,Fusobacteriaceae,Fusobacteriales,Fusobacteriales,Fusobacteriia,Fusobacteriia,Fusobacteria,Fusobacteria
Citrobacter freundii,Citrobacter freundii,Citrobacter freundii,Citrobacter freundii,Citrobacter,Citrobacter,Enterobacteriaceae,Enterobacteriaceae,Enterobacterales,Enterobacterales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Citrobacter youngae,Citrobacter youngae,Citrobacter youngae,Citrobacter youngae,Citrobacter,Citrobacter,Enterobacteriaceae,Enterobacteriaceae,Enterobacterales,Enterobacterales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Gemella haemolysans,Gemella haemolysans,Gemella haemolysans,Gemella haemolysans,Gemella,Gemella,Bacillales_NA,Bacillales_NA,Bacillales,Bacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Streptococcus sp. A12,Streptococcus sp. A12,Streptococcus sp. A12,Streptococcus sp. A12,Streptococcus,Streptococcus,Streptococcaceae,Streptococcaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Citrobacter werkmanii,Citrobacter werkmanii,Citrobacter werkmanii,Citrobacter werkmanii,Citrobacter,Citrobacter,Enterobacteriaceae,Enterobacteriaceae,Enterobacterales,Enterobacterales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Gemella sanguinis,Gemella sanguinis,Gemella sanguinis,Gemella sanguinis,Gemella,Gemella,Bacillales_NA,Bacillales_NA,Bacillales,Bacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Prevotella bivia,Prevotella bivia,Prevotella bivia,Prevotella bivia,Prevotella,Prevotella,Prevotellaceae,Prevotellaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Aggregatibacter segnis,Aggregatibacter segnis,Aggregatibacter segnis,Aggregatibacter segnis,Aggregatibacter,Aggregatibacter,Pasteurellaceae,Pasteurellaceae,Pasteurellales,Pasteurellales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Streptococcus australis,Streptococcus australis,Streptococcus australis,Streptococcus australis,Streptococcus,Streptococcus,Streptococcaceae,Streptococcaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Gemella morbillorum,Gemella morbillorum,Gemella morbillorum,Gemella morbillorum,Gemella,Gemella,Bacillales_NA,Bacillales_NA,Bacillales,Bacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Phocaeicola vulgatus,Phocaeicola vulgatus,Phocaeicola vulgatus,Phocaeicola vulgatus,Phocaeicola,Phocaeicola,Bacteroidaceae,Bacteroidaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Clostridium butyricum,Clostridium butyricum,Clostridium butyricum,Clostridium butyricum,Clostridium,Clostridium,Clostridiaceae,Clostridiaceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Bifidobacterium pseudocatenulatum,Bifidobacterium pseudocatenulatum,Bifidobacterium pseudocatenulatum,Bifidobacterium pseudocatenulatum,Bifidobacterium,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriaceae,Bifidobacteriales,Bifidobacteriales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Pediococcus acidilactici,Pediococcus acidilactici,Pediococcus acidilactici,Pediococcus acidilactici,Pediococcus,Pediococcus,Lactobacillaceae,Lactobacillaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Lacticaseibacillus rhamnosus,Lacticaseibacillus rhamnosus,Lacticaseibacillus rhamnosus,Lacticaseibacillus rhamnosus,Lacticaseibacillus,Lacticaseibacillus,Lactobacillaceae,Lactobacillaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Klebsiella oxytoca,Klebsiella oxytoca,Klebsiella oxytoca,Klebsiella oxytoca,Klebsiella,Klebsiella,Enterobacteriaceae,Enterobacteriaceae,Enterobacterales,Enterobacterales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Eggerthella lenta,Eggerthella lenta,Eggerthella lenta,Eggerthella lenta,Eggerthella,Eggerthella,Eggerthellaceae,Eggerthellaceae,Eggerthellales,Eggerthellales,Coriobacteriia,Coriobacteriia,Actinobacteria,Actinobacteria
Enterococcus casseliflavus,Enterococcus casseliflavus,Enterococcus casseliflavus,Enterococcus casseliflavus,Enterococcus,Enterococcus,Enterococcaceae,Enterococcaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Clostridium neonatale,Clostridium neonatale,Clostridium neonatale,Clostridium neonatale,Clostridium,Clostridium,Clostridiaceae,Clostridiaceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Gordonibacter pamelaeae,Gordonibacter pamelaeae,Gordonibacter pamelaeae,Gordonibacter pamelaeae,Gordonibacter,Gordonibacter,Eggerthellaceae,Eggerthellaceae,Eggerthellales,Eggerthellales,Coriobacteriia,Coriobacteriia,Actinobacteria,Actinobacteria
Dickeya fangzhongdai,Dickeya fangzhongdai,Dickeya fangzhongdai,Dickeya fangzhongdai,Dickeya,Dickeya,Pectobacteriaceae,Pectobacteriaceae,Enterobacterales,Enterobacterales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Intestinibacter bartlettii,Intestinibacter bartlettii,Intestinibacter bartlettii,Intestinibacter bartlettii,Intestinibacter,Intestinibacter,Peptostreptococcaceae,Peptostreptococcaceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Clostridium spiroforme,Clostridium spiroforme,Clostridium spiroforme,Clostridium spiroforme,Erysipelatoclostridium,Erysipelatoclostridium,Erysipelotrichaceae,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichales,Erysipelotrichia,Erysipelotrichia,Firmicutes,Firmicutes
Enterococcus gallinarum,Enterococcus gallinarum,Enterococcus gallinarum,Enterococcus gallinarum,Enterococcus,Enterococcus,Enterococcaceae,Enterococcaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Aeriscardovia aeriphila,Aeriscardovia aeriphila,Aeriscardovia aeriphila,Aeriscardovia aeriphila,Aeriscardovia,Aeriscardovia,Bifidobacteriaceae,Bifidobacteriaceae,Bifidobacteriales,Bifidobacteriales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Dickeya chrysanthemi,Dickeya chrysanthemi,Dickeya chrysanthemi,Dickeya chrysanthemi,Dickeya,Dickeya,Pectobacteriaceae,Pectobacteriaceae,Enterobacterales,Enterobacterales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Finegoldia magna,Finegoldia magna,Finegoldia magna,Finegoldia magna,Finegoldia,Finegoldia,Peptoniphilaceae,Peptoniphilaceae,Tissierellales,Tissierellales,Tissierellia,Tissierellia,Firmicutes,Firmicutes
Enterococcus dispar,Enterococcus dispar,Enterococcus dispar,Enterococcus dispar,Enterococcus,Enterococcus,Enterococcaceae,Enterococcaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Klebsiella michiganensis,Klebsiella michiganensis,Klebsiella michiganensis,Klebsiella michiganensis,Klebsiella,Klebsiella,Enterobacteriaceae,Enterobacteriaceae,Enterobacterales,Enterobacterales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Cellulosilyticum lentocellum,Cellulosilyticum lentocellum,Cellulosilyticum lentocellum,Cellulosilyticum lentocellum,Cellulosilyticum,Cellulosilyticum,Lachnospiraceae,Lachnospiraceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Prevotella buccae,Prevotella buccae,Prevotella buccae,Prevotella buccae,Prevotella,Prevotella,Prevotellaceae,Prevotellaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Adlercreutzia caecimuris,Adlercreutzia caecimuris,Adlercreutzia caecimuris,Adlercreutzia caecimuris,Adlercreutzia,Adlercreutzia,Eggerthellaceae,Eggerthellaceae,Eggerthellales,Eggerthellales,Coriobacteriia,Coriobacteriia,Actinobacteria,Actinobacteria
Actinomyces urogenitalis,Actinomyces urogenitalis,Actinomyces urogenitalis,Actinomyces urogenitalis,Actinomyces,Actinomyces,Actinomycetaceae,Actinomycetaceae,Actinomycetales,Actinomycetales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Varibaculum cambriense,Varibaculum cambriense,Varibaculum cambriense,Varibaculum cambriense,Varibaculum,Varibaculum,Actinomycetaceae,Actinomycetaceae,Actinomycetales,Actinomycetales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Corynebacterium accolens,Corynebacterium accolens,Corynebacterium accolens,Corynebacterium accolens,Corynebacterium,Corynebacterium,Corynebacteriaceae,Corynebacteriaceae,Corynebacteriales,Corynebacteriales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Raoultella planticola,Raoultella planticola,Raoultella planticola,Raoultella planticola,Raoultella,Raoultella,Enterobacteriaceae,Enterobacteriaceae,Enterobacterales,Enterobacterales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Corynebacterium pseudodiphtheriticum,Corynebacterium pseudodiphtheriticum,Corynebacterium pseudodiphtheriticum,Corynebacterium pseudodiphtheriticum,Corynebacterium,Corynebacterium,Corynebacteriaceae,Corynebacteriaceae,Corynebacteriales,Corynebacteriales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Streptococcus sp. HMSC071D03,Streptococcus sp. HMSC071D03,Streptococcus sp. HMSC071D03,Streptococcus sp. HMSC071D03,Streptococcus,Streptococcus,Streptococcaceae,Streptococcaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Dolosigranulum pigrum,Dolosigranulum pigrum,Dolosigranulum pigrum,Dolosigranulum pigrum,Dolosigranulum,Dolosigranulum,Carnobacteriaceae,Carnobacteriaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Corynebacterium pseudogenitalium,Corynebacterium pseudogenitalium,Corynebacterium pseudogenitalium,Corynebacterium pseudogenitalium,Corynebacterium,Corynebacterium,Corynebacteriaceae,Corynebacteriaceae,Corynebacteriales,Corynebacteriales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Alistipes finegoldii,Alistipes finegoldii,Alistipes finegoldii,Alistipes finegoldii,Alistipes,Alistipes,Rikenellaceae,Rikenellaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Prevotella copri,Prevotella copri,Prevotella copri,Prevotella copri,Prevotella,Prevotella,Prevotellaceae,Prevotellaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Alistipes putredinis,Alistipes putredinis,Alistipes putredinis,Alistipes putredinis,Alistipes,Alistipes,Rikenellaceae,Rikenellaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis,Bacteroides,Bacteroides,Bacteroidaceae,Bacteroidaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Phocaeicola dorei,Phocaeicola dorei,Phocaeicola dorei,Phocaeicola dorei,Phocaeicola,Phocaeicola,Bacteroidaceae,Bacteroidaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Parabacteroides merdae,Parabacteroides merdae,Parabacteroides merdae,Parabacteroides merdae,Parabacteroides,Parabacteroides,Tannerellaceae,Tannerellaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Bacteroides intestinalis,Bacteroides intestinalis,Bacteroides intestinalis,Bacteroides intestinalis,Bacteroides,Bacteroides,Bacteroidaceae,Bacteroidaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Phocaeicola plebeius,Phocaeicola plebeius,Phocaeicola plebeius,Phocaeicola plebeius,Phocaeicola,Phocaeicola,Bacteroidaceae,Bacteroidaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Eubacterium sp. CAG:251,Eubacterium sp. CAG:251,Eubacterium sp. CAG:251,Eubacterium sp. CAG:251,Eubacterium,Eubacterium,Eubacteriaceae,Eubacteriaceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Bacteroides caccae,Bacteroides caccae,Bacteroides caccae,Bacteroides caccae,Bacteroides,Bacteroides,Bacteroidaceae,Bacteroidaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Bacteroides clarus,Bacteroides clarus,Bacteroides clarus,Bacteroides clarus,Bacteroides,Bacteroides,Bacteroidaceae,Bacteroidaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Ruminococcus bromii,Ruminococcus bromii,Ruminococcus bromii,Ruminococcus bromii,Ruminococcus,Ruminococcus,Oscillospiraceae,Oscillospiraceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Odoribacter splanchnicus,Odoribacter splanchnicus,Odoribacter splanchnicus,Odoribacter splanchnicus,Odoribacter,Odoribacter,Odoribacteraceae,Odoribacteraceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Eubacterium rectale,Eubacterium rectale,Eubacterium rectale,Eubacterium rectale,Lachnospiraceae_NA,Lachnospiraceae_NA,Lachnospiraceae,Lachnospiraceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Parasutterella excrementihominis,Parasutterella excrementihominis,Parasutterella excrementihominis,Parasutterella excrementihominis,Parasutterella,Parasutterella,Sutterellaceae,Sutterellaceae,Burkholderiales,Burkholderiales,Betaproteobacteria,Betaproteobacteria,Proteobacteria,Proteobacteria
Roseburia hominis,Roseburia hominis,Roseburia hominis,Roseburia hominis,Roseburia,Roseburia,Lachnospiraceae,Lachnospiraceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Bacteroides ovatus,Bacteroides ovatus,Bacteroides ovatus,Bacteroides ovatus,Bacteroides,Bacteroides,Bacteroidaceae,Bacteroidaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Holdemanella biformis,Holdemanella biformis,Holdemanella biformis,Holdemanella biformis,Holdemanella,Holdemanella,Erysipelotrichaceae,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichales,Erysipelotrichia,Erysipelotrichia,Firmicutes,Firmicutes
Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,Faecalibacterium,Faecalibacterium,Oscillospiraceae,Oscillospiraceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Bacteroides salyersiae,Bacteroides salyersiae,Bacteroides salyersiae,Bacteroides salyersiae,Bacteroides,Bacteroides,Bacteroidaceae,Bacteroidaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Akkermansia muciniphila,Akkermansia muciniphila,Akkermansia muciniphila,Akkermansia muciniphila,Akkermansia,Akkermansia,Akkermansiaceae,Akkermansiaceae,Verrucomicrobiales,Verrucomicrobiales,Verrucomicrobiae,Verrucomicrobiae,Verrucomicrobia,Verrucomicrobia
Parabacteroides goldsteinii,Parabacteroides goldsteinii,Parabacteroides goldsteinii,Parabacteroides goldsteinii,Parabacteroides,Parabacteroides,Tannerellaceae,Tannerellaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
